,intent_loss,intent_acc,set
0,0.9712693938851794,0.6604243059193295,train
1,1.930487395922343,0.3133333345254262,valid
2,0.4406932706258227,0.8464510214772132,train
3,1.2701392221450805,0.5600000019868215,valid
4,0.28714116021499014,0.8986052907281299,train
5,0.8039971510569255,0.7266666634877523,valid
6,0.21628315098224635,0.9212283918281823,train
7,0.841527229944865,0.726666669845581,valid
8,0.185477905422293,0.9337676794133054,train
9,0.8689319761594136,0.7199999968210856,valid
10,0.16798768175357046,0.9372708224201153,train
11,0.6516209483146668,0.7999999968210856,valid
12,0.1578799990089215,0.9418216343635412,train
13,0.6035770026842753,0.8333333373069763,valid
14,0.15001215614405772,0.9443425877422734,train
15,0.7063188334306081,0.780000003973643,valid
16,0.1376656271951959,0.947812991094814,train
17,0.6620709840456644,0.8133333325386047,valid
18,0.1382983427605996,0.9490570979570456,train
19,0.6853035108248393,0.7866666634877523,valid
20,0.13011205032460035,0.9504649030906234,train
21,0.6369036213556926,0.826666665871938,valid
22,0.1290205431767413,0.9507922996333159,train
23,0.605898094177246,0.8333333349227905,valid
24,0.1253939248575605,0.9532150340492405,train
25,0.7613881230354309,0.7599999968210857,valid
26,0.5059890134648962,0.8351648436797844,valid
