,intent_loss,intent_acc,set
0,1.4420538370107958,0.6520836936464859,train
1,0.7714071209540968,0.7888357258489448,valid
2,0.4016928729581396,0.9017378524082375,train
3,0.5618941640074363,0.843381180356374,valid
4,0.24911083299850234,0.9381376448622546,train
5,0.5827104772106882,0.8570972888473498,valid
6,0.17601884259985184,0.9542624935154764,train
7,0.539394723456442,0.8615629986332555,valid
8,0.14812904660907736,0.9609631679059312,train
9,0.5925492580807761,0.8491228072076703,valid
10,0.11989002361102602,0.9674909217081824,train
11,0.6237907071528062,0.863157894850918,valid
12,0.10489323801974122,0.9711654850629793,train
13,0.6618270785614634,0.8354066988307703,valid
14,0.09509031436148888,0.9742348262147674,train
15,0.5779366809975778,0.8708133973573383,valid
16,0.08272462582739706,0.9765692547327008,train
17,0.661383974419066,0.8449760767451504,valid
18,0.0840957495067465,0.976612484869445,train
19,0.5890963624158735,0.8580542266273803,valid
20,0.08250484410715252,0.977131246778352,train
21,0.6999457977605208,0.8539074962028856,valid
22,0.07084388490015818,0.9794224450977002,train
23,0.5781799414701629,0.8695374801968844,valid
24,0.0648750506454833,0.9807625799964048,train
25,0.5472125212731734,0.8883572568733726,valid
26,0.07031180386254526,0.9797682863565623,train
27,0.6010114067289057,0.8794258374726753,valid
28,0.05939160162087297,0.9821891751892113,train
29,0.5588183727561001,0.8816586923941471,valid
30,0.05510721842611968,0.9841777624070551,train
31,0.6686812098706928,0.8663476876094581,valid
32,0.05580380509623437,0.9842209925850267,train
33,0.6287819359100987,0.8765550240755462,valid
34,0.05942140075457193,0.9827943973716065,train
35,0.6270637444902265,0.8762360448662364,valid
36,0.05157799446143979,0.9849991353968528,train
37,0.6015675483137797,0.8724082936890768,valid
38,0.8586694951784812,0.8064088983050848,valid
